,건국대학교,체육교육과,20m,높이뛰기,체조,농구,싯업,
,건양대학교,스포츠의학과,비실기,,,,,
56,경기대학교,스포츠과학부,20m,메던,제멀,,,
57,경기대학교,시큐리티매니지먼트학과,20m,메던,제멀,,,
58,경기대학교,체육학과,20m,싯업,제멀,,,
59,경남대학교,체육교육과,100m,핸던,z런,제멀,,
,경동대학교,스포츠마케팅,비실기,,,,,
61,경북대학교,체육교육과,z런,제멀,사이드스텝,공벽치기,턱걸이/매달리기,
60,경북대학교,체육학부(건강운동관리전공),z런,제멀,사이드스텝,공벽치기,,
60,경북대학교,체육학부(체육학전공),z런,제멀,사이드스텝,공벽치기,,
62,경상대학교,휴먼헬스케어학과,z런,핸던,제멀,싯업,,
,경희대학교,골프산업학과,비실기,,,,,
,경희대학교,스포츠의학과(기초수급자),비실기,,,,,
,경희대학교,스포츠의학과(일반),비실기,,,,,
,경희대학교,스포츠지도학과,비실기,,,,,
,경희대학교,체육학과(농어촌),비실기,,,,,
,경희대학교,체육학과(일반),비실기,,,,,
,경희대학교,태권도학과,비실기,,,,,
63,공주대학교,생활체육지도학과(농어촌),25m,싯업,세단뛰기/제멀,턱걸이/매달리기,,
63,공주대학교,생활체육지도학과(일반),25m,싯업,세단뛰기/제멀,턱걸이/매달리기,,
64,공주대학교,체육교육과,25m,싯업,서전트,좌전굴,,
13,나사렛대학교,재활스포츠학부(일반),제멀,10m,싯업,,,
65,남서울대학교,스포츠건강관리학과,20m,제멀,좌전굴,,,
65,남서울대학교,스포츠비즈니스학과,20m,제멀,좌전굴,,,
66,대구가톨릭대학교,체육교육과,z런,제멀,사이드스텝,메던,,
,대구대학교,스포츠레저학과,비실기,,,,,
67,대구한의대학교,체육학과,제멀,z런,메던,,,
68,대전대학교,건강운동관리학과,제멀,20m,,,,
69,동덕여자대학교,체육학전공,제멀,좌전굴,10m(콘),,,
70,동서대학교,체육학과,메던,z런,제멀,,,
71,동아대학교,체육학과,25m,메던,,,,
72,동의대학교,체육학과,제멀,메던,z런,,,
73,목원대학교,스포츠건강관리학과,10m,제멀,,,,
,목원대학교,스포츠건강관리학과(비),비실기,,,,,
74,상명대학교,스포츠융합,50m달리기,좌전굴,제멀,,,
75,서울과학기술대학교,스포츠과학과,십자런,제멀,좌전굴,싯업,,
,서울과학기술대학교,스포츠과학과(비),비실기,,,,,
,서울대학교,체육교육과,턱걸이,핸던,제멀,100m,농구,축구
76,서울시립대학교,스포츠과학과,좌전굴,제멀,100m,,,
77,서울여자대학교,스포츠운동과학과,좌전굴,제멀,매달리기,,,
,서원대학교,헬스케어운동학과,비실기,,,,,
78,성결대학교,체육교육과,80m,제멀,10m,싯업,체전굴,25m(대체)
79,세명대학교,생활체육학과,제멀,20m,싯업,,,
80,세종대학교,체육학과,제멀,메던,20m,,,
81,수원대학교,스포츠과학부(기초),지그재그런,제멀,배근력,,,
82,수원대학교,스포츠과학부(전공),지그재그런,제멀,축구,농구,체조,
83,숙명여자대학교,체육교육과,허들,높이뛰기,물구나무,핸드스프링,전공,
84,신라대학교,체육학부,z런,좌전굴,서전트,,,
85,영남대학교,체육학부,제멀,사이드스텝,,,,
86,용인대학교,스포츠레저학과,제멀,10m,,,,
127,용인대학교,체육학과,제멀,10m,,,,
128,용인대학교,특수체육교육과,제멀,10m,,,,
,우석대학교,스포츠지도학과,25m,서전트,메던,,,
,우석대학교,체육학과,좌전굴,지그재그런,서전트,,,
87,울산대학교,스포츠과학부,핸던,제멀,z런,,,
