1,가,강릉원주대학교,체육학과,비실기,,,,,,
2,가,강원대학교,스포츠과학,싯업,지그재그런,제멀,800m,배근력,,245
,가,건양대학교,재활퍼스널트레이닝학과,비실기,,,,,,
4,가,경동대학교,체육학과,비실기,,,,,,963
5,가,경상국립대학교,체육교육과,비실기,,,,,,
62,가,경상국립대학교,휴먼헬스케어학과,z런,핸던,제멀,싯업,,,810
6,가,계명대학교,사회체육학전공,z런,제멀,,,,,88.5
7,가,계명대학교,체육학전공,z런,제멀,,,,,90
8,가,고려대학교,국제스포츠학부,10m,메던,제멀,,,,805
8,가,고려대학교,국제스포츠학부(농),비실기,,,,,,
8,가,고려대학교,국제스포츠학부(사),비실기,,,,,,
9,가,고려대학교,체육교육과,높이뛰기,농구,지그재그런,,,,735
9,가,고려대학교,체육교육과(농어촌),높이뛰기,농구,지그재그런,,,,
9,가,고려대학교,체육교육과(사회배려),높이뛰기,농구,지그재그런,,,,
,가,광주대학교,스포츠과학부,비실기,,,,,,
,가,국민대학교,스포츠건강재활(비),비실기,,,,,,
10,가,국민대학교,스포츠교육,20m,제멀,싯업,메던,,,870
11,가,국민대학교,스포츠산업레저,20m,서전트,제멀,농구골밑슛,,,855
12,가,군산대학교,체육학부,지그재그런,제멀,,,,,810
14,가,덕성여자대학교,생활체육,좌전굴,서전트,배근력,20m,,,840
15,가,동국대학교,스포츠과학전공,20m,제멀,,,,,780
15,가,동국대학교,스포츠의학전공,20m,제멀,,,,,780
999,가,동국대학교,체육교육과,배근력,좌전굴,제멀,중량런,,,760
16,가,동서대학교,운동처방학과,메던,z런,제멀,,,,900
17,가,동의대학교,레저스포츠학과,제멀,z런,,,,,
18,가,백석대학교,스포츠과학부,10m,제멀,싯업,,,,860
19,가,백석대학교,특수체육교육과,10m,제멀,싯업,,,,760
20,가,부경대학교,스마트헬스케어학부,지그재그런,싯업,100m,,,,750
21,가,부산대학교,스포츠과학과,좌전굴,Z런,제멀,20M셔틀런,,,730
,가,부산대학교,체육교육과,비실기,,,,,,
,가,부산외국어대학교,사회체육학과,비실기,,,,,,
,가,부산외국어대학교,스포츠재활학과,비실기,,,,,,
22,가,삼육대학교,체육학과,좌전굴,사이드스텝,제멀,,,,932
22,가,삼육대학교,체육학과(농),좌전굴,사이드스텝,제멀,,,,
113,가,상지대학교,체육학전공,싯업,제멀,10m,,,,780
23,가,서원대학교,체육교육과,10m,제멀,악력,메던,,,870
24,가,성균관대학교,스포츠과학,,,,25M,핸던,,680
25,가,성신여자대학교,스포츠레저전공,제멀,싯업,십자런,좌전굴,,,390
26,가,성신여자대학교,운동재활전공,제멀,싯업,10m,좌전굴,,,390
,가,안동대학교,체육학과,비실기,,,,,,
998,가,연세대학교,스포츠응용산업학과,전공실기,,,,,,
27,가,연세대학교,체육교육과,25m,제멀,메던,,,,665
28,가,원광대학교,스포츠과학부,지그재그런,제멀,좌전굴,,,,1160
29,가,원광대학교,체육교육과,지그재그런,배구,높이뛰기,,,,540
30,가,인제대학교,스포츠헬스케어학과,비실기,,,,,,
33,가,인천대학교,스포츠과학부,메던,제멀,20m,,,,810
31,가,인천대학교,운동건강학부,메던,제멀,지그재그런,,,,840
32,가,인천대학교,체육교육과,1분레이업,제멀,턱걸이/매달,,,,910
34,가,인하대학교,스포츠과학과,10m,제멀,,,,,930
93,가,조선대학교,스포츠산업학과,싯업,제멀,100m,,,,
93,가,조선대학교,체육학과,싯업,제멀,100m,,,,
200,가,중부대학교,스포츠재활복지학전공,10m,서전트,싯업,,,,
,가,중부대학교,특수체육교육과,비실기,,,,,,844
,가,중원대학교,스포츠산업학과,비실기,,,,,,
,가,중원대학교,스포츠지도학과,비실기,,,,,,
,가,중원대학교,운동레저학부,비실기,,,,,,
35,가,충남대학교,체육교육과,20m,핸던,체조,,,,345
